SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;
772 ;17:20,80 ;7318 ;70 ;101;90;1,060 ;0,0 ;30,6 ;37,1 ;35,1 ;1,000 ;0 ;4,81 ;11,8 ;16 ;0 ;0 ;0,0;
772 ;17:20,90 ;6646 ;60 ;101;80;1,085 ;0,0 ;29,9 ;34,8 ;33,6 ;1,000 ;0 ;4,43 ;11,8 ;13 ;0 ;0 ;0,0;
772 ;17:21,00 ;6250 ;38 ;101;70;1,117 ;0,0 ;29,6 ;33,5 ;33,9 ;1,000 ;0 ;4,31 ;11,9 ;13 ;0 ;0 ;0,0;
772 ;17:21,10 ;6206 ;34 ;101;69;1,153 ;0,0 ;28,6 ;32,9 ;32,8 ;1,000 ;0 ;4,31 ;11,9 ;14 ;0 ;0 ;0,0;
772 ;17:21,20 ;6040 ;33 ;101;69;1,181 ;0,0 ;27,5 ;32,9 ;34,5 ;1,000 ;0 ;4,19 ;11,8 ;21 ;0 ;0 ;0,0;
772 ;17:21,30 ;6179 ;33 ;101;68;1,220 ;0,0 ;27,0 ;33,0 ;30,9 ;1,000 ;0 ;4,23 ;11,9 ;16 ;0 ;0 ;0,0;
772 ;17:21,40 ;6258 ;32 ;101;67;1,259 ;0,0 ;26,8 ;32,4 ;33,2 ;1,000 ;0 ;4,23 ;11,8 ;21 ;0 ;0 ;0,0;
772 ;17:21,50 ;6027 ;31 ;101;66;1,209 ;0,0 ;28,5 ;32,2 ;10,9 ;1,000 ;0 ;4,17 ;12,0 ;-43 ;0 ;0 ;0,0;
772 ;17:21,60 ;6121 ;31 ;101;65;1,165 ;0,0 ;31,4 ;33,0 ;32,5 ;1,000 ;0 ;4,26 ;11,9 ;3 ;0 ;0 ;0,0;
772 ;17:21,70 ;6463 ;32 ;101;62;1,119 ;0,0 ;33,7 ;35,0 ;34,9 ;1,000 ;0 ;4,47 ;11,9 ;3 ;0 ;0 ;0,0;
772 ;17:21,80 ;6850 ;32 ;101;59;1,024 ;0,0 ;35,7 ;36,5 ;36,2 ;1,000 ;0 ;4,76 ;11,9 ;1 ;0 ;0 ;0,0;
772 ;17:21,90 ;7123 ;32 ;100;56;0,967 ;0,0 ;37,6 ;38,9 ;38,2 ;1,000 ;0 ;4,97 ;11,9 ;1 ;0 ;0 ;0,0;
772 ;17:22,00 ;7551 ;32 ;100;52;0,981 ;0,0 ;39,7 ;40,6 ;40,6 ;1,000 ;0 ;5,15 ;11,9 ;2 ;0 ;0 ;0,0;
772 ;17:22,10 ;7858 ;32 ;100;49;1,041 ;0,0 ;41,3 ;41,8 ;96,7 ;1,000 ;0 ;5,34 ;11,8 ;34 ;0 ;0 ;0,0;
772 ;17:22,20 ;8252 ;32 ;100;45;1,009 ;0,0 ;43,7 ;43,9 ;96,7 ;1,000 ;0 ;5,47 ;11,8 ;30 ;0 ;0 ;0,0;
772 ;17:22,30 ;8600 ;32 ;100;43;0,863 ;0,0 ;45,8 ;46,1 ;9,8 ;1,000 ;0 ;5,62 ;11,8 ;-58 ;0 ;0 ;0,0;
