SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:38,90 ;11474 ;64 ;100;65;0,500 ;60,2 ;0,0 ;61,2 ;4,0 ;1,000 ;0 ;4,52 ;6,70 ;11,6 ;-69 ;0 ;0 ;
784 ;4:39,00 ;11127 ;63 ;100;66;0,500 ;58,4 ;0,0 ;60,2 ;12,0 ;1,000 ;0 ;4,60 ;6,47 ;11,5 ;-58 ;0 ;0 ;
784 ;4:39,10 ;10800 ;63 ;100;66;0,500 ;56,5 ;0,0 ;57,4 ;15,8 ;1,000 ;0 ;4,58 ;6,48 ;11,7 ;-53 ;0 ;0 ;
784 ;4:39,20 ;10480 ;62 ;100;66;0,500 ;54,7 ;0,0 ;56,3 ;22,1 ;1,000 ;0 ;4,60 ;6,35 ;11,5 ;-44 ;0 ;0 ;
784 ;4:39,30 ;10157 ;62 ;100;65;0,500 ;53,2 ;0,0 ;54,4 ;3,5 ;1,000 ;0 ;4,57 ;6,38 ;11,8 ;-69 ;0 ;0 ;
784 ;4:39,40 ;9941 ;61 ;100;64;0,500 ;51,5 ;0,0 ;53,1 ;2,6 ;1,000 ;0 ;4,59 ;6,38 ;11,7 ;-70 ;0 ;0 ;
784 ;4:39,50 ;9679 ;60 ;100;66;0,500 ;49,9 ;0,0 ;50,8 ;11,8 ;1,000 ;0 ;4,58 ;6,39 ;11,6 ;-56 ;0 ;0 ;
784 ;4:39,60 ;9314 ;59 ;100;66;0,500 ;48,9 ;0,0 ;49,3 ;391,0 ;1,000 ;90 ;4,60 ;6,16 ;12,0 ;175 ;0 ;0 ;
784 ;4:39,70 ;9075 ;58 ;100;65;0,500 ;47,8 ;0,0 ;48,4 ;1,5 ;1,000 ;0 ;4,56 ;6,15 ;11,7 ;-72 ;0 ;0 ;
784 ;4:39,80 ;8741 ;56 ;100;63;0,500 ;46,3 ;0,0 ;47,5 ;54,1 ;1,000 ;0 ;4,59 ;5,86 ;11,9 ;6 ;0 ;0 ;
784 ;4:39,90 ;8434 ;47 ;100;59;0,500 ;44,2 ;0,0 ;45,4 ;54,1 ;1,000 ;0 ;4,57 ;5,56 ;11,6 ;7 ;0 ;0 ;
784 ;4:40,00 ;8092 ;42 ;100;61;0,500 ;42,3 ;0,0 ;43,8 ;43,1 ;1,000 ;0 ;4,61 ;5,58 ;11,6 ;2 ;0 ;0 ;
784 ;4:40,10 ;7955 ;40 ;100;61;0,500 ;39,7 ;0,0 ;42,4 ;41,6 ;1,000 ;0 ;4,58 ;5,38 ;11,6 ;5 ;0 ;0 ;
784 ;4:40,20 ;7637 ;39 ;100;63;0,500 ;37,3 ;0,0 ;41,2 ;40,3 ;1,000 ;0 ;4,56 ;5,08 ;11,7 ;8 ;0 ;0 ;
784 ;4:40,30 ;7470 ;39 ;100;64;0,500 ;36,0 ;0,0 ;39,2 ;19,3 ;1,000 ;0 ;4,56 ;5,12 ;11,6 ;-32 ;0 ;0 ;
784 ;4:40,40 ;7292 ;38 ;100;67;0,500 ;35,0 ;0,0 ;37,5 ;38,8 ;1,000 ;0 ;4,60 ;5,02 ;11,8 ;8 ;0 ;0 ;
784 ;4:40,50 ;6781 ;37 ;100;69;0,500 ;34,8 ;0,0 ;36,5 ;36,7 ;1,000 ;0 ;4,57 ;4,61 ;11,8 ;4 ;0 ;0 ;
784 ;4:40,60 ;6713 ;36 ;100;69;0,500 ;34,2 ;0,0 ;35,0 ;34,7 ;1,000 ;0 ;4,62 ;4,70 ;11,8 ;1 ;0 ;0 ;
784 ;4:40,70 ;6494 ;36 ;99;69;0,500 ;34,7 ;0,0 ;35,0 ;33,6 ;1,000 ;0 ;4,57 ;4,53 ;11,8 ;-2 ;0 ;0 ;
784 ;4:40,80 ;6190 ;35 ;100;69;0,500 ;34,3 ;0,0 ;33,9 ;32,2 ;1,000 ;0 ;4,62 ;4,37 ;11,8 ;-4 ;0 ;0 ;
784 ;4:40,90 ;6143 ;34 ;100;69;0,500 ;34,0 ;0,0 ;33,7 ;31,2 ;1,000 ;0 ;4,53 ;4,21 ;12,0 ;-6 ;0 ;0 ;
784 ;4:41,00 ;6021 ;34 ;100;69;0,501 ;33,1 ;0,0 ;32,8 ;36,5 ;1,000 ;0 ;4,53 ;4,12 ;12,0 ;1 ;0 ;0 ;
784 ;4:41,10 ;5954 ;33 ;99;70;0,500 ;32,6 ;0,0 ;32,2 ;32,4 ;1,000 ;0 ;4,60 ;4,10 ;11,9 ;-1 ;0 ;0 ;
784 ;4:41,20 ;5640 ;32 ;99;71;0,501 ;32,3 ;0,0 ;32,3 ;28,5 ;1,000 ;0 ;4,66 ;4,02 ;11,8 ;-8 ;0 ;0 ;
784 ;4:41,30 ;5685 ;31 ;99;65;0,500 ;31,6 ;0,0 ;31,3 ;31,1 ;1,000 ;0 ;4,62 ;4,06 ;11,7 ;-1 ;0 ;0 ;
