																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6200	34,76	36,01	36,84	41,73	45,04	51,02	81,69	9,723	1167	2357		49,92	1,248	1,248	0	40,79	1,023	8,584	0	26,05
	6250	35,3	36,57	37,42	42,04	45,68	51,33	82,35	9,796	1176	2376		50,22	1,267	1,267	0	41,09	1,023	8,584	0	26,05
	6300	35,78	37,07	37,93	42,28	46,26	51,57	83	9,870	1182	2390		50,45	1,286	1,286	0	41,32	1,023	8,584	0	26,05
	6350	35,97	37,28	38,14	42,19	46,54	51,47	83,66	9,949	1180	2383		50,36	1,305	1,305	0	41,23	1,023	8,584	0	26,05
	6400	36,16	37,49	38,35	42,09	46,82	51,38	84,32	10,03	1177	2377		50,27	1,324	1,324	0	41,14	1,023	8,584	0	26,05
	6450	36,12	37,47	38,33	41,75	46,86	51,03	84,98	10,11	1167	2352		49,93	1,343	1,343	0	40,8	1,023	8,584	0	26,05
	6500	35,96	37,32	38,18	41,27	46,78	50,55	85,64	10,18	1154	2317		49,46	1,363	1,363	0	40,33	1,023	8,584	0	26,05
	6550	35,77	37,16	38,02	40,77	46,68	50,05	86,3	10,26	1140	2280		48,97	1,382	1,382	0	39,84	1,023	8,584	0	26,05
	6600	35,38	36,78	37,63	40,05	46,36	49,34	86,96	10,35	1120	2227		48,27	1,402	1,402	0	39,15	1,023	8,584	0	26,05
	6650	34,98	36,4	37,25	39,34	46,04	48,63	87,62	10,44	1100	2173		47,58	1,422	1,422	0	38,45	1,023	8,584	0	26,05
	6700	34,64	36,08	36,92	38,71	45,78	48	88,27	10,53	1083	2128		46,96	1,442	1,442	0	37,83	1,023	8,584	0	26,05
	6750	34,31	35,78	36,61	38,09	45,54	47,39	88,93	10,61	1065	2085		46,36	1,463	1,463	0	37,23	1,023	8,584	0	26,05
	6800	34	35,48	36,31	37,5	45,3	46,79	89,59	10,7	1049	2040		45,78	1,484	1,484	0	36,65	1,023	8,584	0	26,05
	6850	33,69	35,2	36,01	36,93	45,08	46,22	90,25	10,8	1033	1992		45,22	1,504	1,504	0	36,09	1,023	8,584	0	26,05
	6900	33,57	35,09	35,91	36,55	45,04	45,84	90,91	10,89	1022	1956		44,85	1,525	1,525	0	35,72	1,023	8,584	0	26,05
	6950	33,7	35,25	36,06	36,45	45,26	45,74	91,57	10,99	1019	1936		44,75	1,547	1,547	0	35,62	1,023	8,584	0	26,05
	7000	33,93	35,5	36,32	36,44	45,58	45,74	92,23	11,09	1019	1922		44,75	1,568	1,568	0	35,62	1,023	8,584	0	26,05
	7050	34,36	35,95	36,78	36,64	46,11	45,93	92,89	11,18	1025	1919		44,94	1,59	1,59	0	35,81	1,023	8,584	0	26,05
	7100	34,79	36,4	37,24	36,84	46,64	46,13	93,54	11,27	1030	1915		45,13	1,612	1,612	0	36,01	1,023	8,584	0	26,05
	7150	35,25	36,88	37,74	37,07	47,2	46,36	94,2	11,37	1037	1906		45,36	1,634	1,634	0	36,23	1,023	8,584	0	26,05
	7200	35,72	37,38	38,25	37,31	47,77	46,6	94,86	11,47	1043	1895		45,59	1,656	1,656	0	36,46	1,023	8,584	0	26,05
	7250	36,27	37,95	38,83	37,61	48,42	46,91	95,52	11,56	1052	1881		45,89	1,678	1,678	0	36,76	1,023	8,584	0	26,05
