SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;TAR LB;VOLTS;SHIF A;
1337 ;0:39,80 ;4949 ;12 ;101;59;1,016 ;1,000 ;11,5 ;0 ;
1337 ;0:39,90 ;4956 ;12 ;101;58;1,009 ;1,000 ;11,5 ;0 ;
1337 ;0:40,00 ;4931 ;12 ;101;59;1,016 ;1,000 ;11,6 ;0 ;
1337 ;0:40,10 ;4952 ;12 ;101;58;1,028 ;1,000 ;11,4 ;0 ;
1337 ;0:40,20 ;4899 ;11 ;101;59;1,053 ;1,000 ;11,5 ;0 ;
1337 ;0:40,30 ;4925 ;11 ;101;58;1,063 ;1,000 ;11,6 ;0 ;
1337 ;0:40,40 ;4925 ;11 ;101;58;1,066 ;1,000 ;11,4 ;0 ;
1337 ;0:40,50 ;4927 ;12 ;101;59;1,056 ;1,000 ;11,6 ;0 ;
1337 ;0:40,60 ;4895 ;12 ;101;58;1,040 ;1,000 ;11,5 ;0 ;
1337 ;0:40,70 ;4849 ;12 ;101;58;1,041 ;1,000 ;11,4 ;0 ;
1337 ;0:40,80 ;4884 ;13 ;101;58;1,047 ;1,000 ;11,5 ;0 ;
1337 ;0:40,90 ;4848 ;12 ;101;58;1,030 ;1,000 ;11,6 ;0 ;
1337 ;0:41,00 ;4768 ;11 ;101;58;1,029 ;1,000 ;11,6 ;0 ;
1337 ;0:41,10 ;4761 ;12 ;101;58;1,049 ;1,000 ;11,6 ;0 ;
1337 ;0:41,20 ;4785 ;11 ;101;58;1,031 ;1,000 ;11,6 ;0 ;
1337 ;0:41,30 ;4815 ;12 ;101;57;0,975 ;1,000 ;11,5 ;0 ;
1337 ;0:41,40 ;4783 ;12 ;102;57;0,936 ;1,000 ;11,5 ;0 ;
1337 ;0:41,50 ;4884 ;12 ;101;56;0,897 ;1,000 ;11,6 ;0 ;
1337 ;0:41,60 ;4982 ;12 ;101;54;0,871 ;1,000 ;11,6 ;0 ;
1337 ;0:41,70 ;5093 ;12 ;101;52;0,848 ;1,000 ;11,6 ;0 ;
1337 ;0:41,80 ;5295 ;12 ;101;49;0,826 ;1,000 ;11,6 ;0 ;
1337 ;0:41,90 ;5485 ;11 ;101;45;0,819 ;1,000 ;11,6 ;0 ;
1337 ;0:42,00 ;5755 ;9 ;101;41;0,815 ;1,000 ;11,5 ;0 ;
1337 ;0:42,10 ;5980 ;11 ;101;39;0,810 ;1,000 ;11,4 ;0 ;
1337 ;0:42,20 ;6093 ;10 ;101;38;0,804 ;1,000 ;11,5 ;0 ;
1337 ;0:42,30 ;6200 ;11 ;101;37;0,806 ;1,000 ;11,5 ;0 ;
1337 ;0:42,40 ;6247 ;11 ;101;37;0,805 ;1,000 ;11,5 ;0 ;
1337 ;0:42,50 ;6343 ;12 ;101;37;0,818 ;1,000 ;11,5 ;0 ;
1337 ;0:42,60 ;6427 ;12 ;101;37;0,824 ;1,000 ;11,5 ;0 ;
1337 ;0:42,70 ;6436 ;12 ;101;38;0,808 ;1,000 ;11,6 ;0 ;
1337 ;0:42,80 ;6425 ;12 ;101;39;0,801 ;1,000 ;11,4 ;0 ;
1337 ;0:42,90 ;6285 ;12 ;101;42;0,827 ;1,000 ;11,5 ;0 ;
1337 ;0:43,00 ;6021 ;12 ;101;46;0,852 ;1,000 ;11,4 ;0 ;
1337 ;0:43,10 ;5810 ;11 ;101;49;0,854 ;1,000 ;11,6 ;0 ;
1337 ;0:43,20 ;5662 ;11 ;101;51;0,848 ;1,000 ;11,4 ;0 ;
